business_name,inflow_amount,gst_delay_days,bounce_count
Neha Solutions 78,674347,27,5
Rahul Solutions 79,307690,30,3
Neha Tech 80,78074,20,4
Sneha Logistics 81,48200,22,5
Sneha Exports 82,791411,0,0
Vikram Enterprises 83,695796,13,2
Anjali Tech 84,408511,28,5
Karan Industries 85,249342,14,4
Rohan Logistics 86,665601,10,4
Vikram Tech 87,139027,18,3
Pooja Farms 88,664151,10,2
Aditya Farms 89,741172,29,5
Karan Solutions 90,599029,18,5
Anjali Textiles 91,144941,25,3
Rahul Exports 92,641267,9,2
Raj Solutions 93,794525,6,4
Pooja Logistics 94,428424,16,3
Neha Farms 95,559180,0,3
Karan Farms 96,431221,28,3
Karan Solutions 97,721298,8,2
Sneha Farms 98,234650,12,0
Rahul Exports 99,677751,23,2
Anjali Tech 100,193348,29,1
Raj Tech 101,702554,2,0
Sneha Logistics 102,690034,16,3
Pooja Industries 103,624403,27,4
Sneha Textiles 104,306706,4,2
Raj Industries 105,556467,4,0
Pooja Solutions 106,461045,17,2
Pooja Enterprises 107,76629,15,4
Vikram Industries 108,371634,22,2
Pooja Enterprises 109,171205,6,5
Sneha Traders 110,80362,25,0
Sneha Logistics 111,685910,14,2
Anjali Enterprises 112,541321,22,0
Anjali Solutions 113,168188,26,0
Pooja Exports 114,618972,14,2
Pooja Farms 115,111962,22,5
Pooja Industries 116,42727,8,0
Raj Exports 117,81721,10,5
Rohan Solutions 118,666348,22,5
Pooja Logistics 119,275845,11,2
Pooja Enterprises 120,83265,26,3
Aditya Exports 121,483843,25,0
Karan Farms 122,407747,30,2
Sneha Textiles 123,70619,5,0
Vikram Logistics 124,681379,19,5
Rohan Traders 125,690417,10,0
Raj Exports 126,454492,30,3
Aditya Logistics 127,654128,9,0
Sneha Enterprises 128,790587,4,3
Aditya Textiles 129,772806,14,3
Aditya Enterprises 130,318197,4,1
Neha Traders 131,686522,3,3
Karan Tech 132,106964,5,2
Sneha Solutions 133,727576,0,5
Rohan Textiles 134,193571,16,0
Anjali Exports 135,639393,11,4
Anjali Solutions 136,315099,2,3
Rahul Traders 137,718392,24,4
Karan Enterprises 138,302918,24,4
Pooja Traders 139,424042,29,0
Rahul Textiles 140,55029,29,2
Sneha Tech 141,301204,7,3
Karan Logistics 142,100743,20,0
Aditya Enterprises 143,573064,8,2
Aditya Textiles 144,153270,24,1
Neha Logistics 145,556252,4,2
Raj Textiles 146,538899,19,4
Raj Logistics 147,554981,24,3
Raj Solutions 148,22154,28,4
Aditya Industries 149,484716,7,1
Sneha Traders 150,421635,11,4
Raj Farms 151,230192,9,4
Neha Exports 152,573790,25,1
Neha Tech 153,698107,2,2
Raj Textiles 154,550672,5,2
Neha Exports 155,619288,9,2
Aditya Textiles 156,176166,20,1
Neha Exports 157,736378,4,3
Rahul Farms 158,423584,18,2
Vikram Traders 159,131514,27,5
Neha Industries 160,684726,21,3
Pooja Tech 161,613449,25,0
Aditya Textiles 162,93225,19,3
Sneha Enterprises 163,732761,11,1
Neha Enterprises 164,243452,26,0
Rahul Enterprises 165,167933,23,2
Aditya Logistics 166,647781,30,2
Neha Industries 167,340779,6,3
Neha Traders 168,441656,7,4
Rohan Traders 169,155289,23,2
Vikram Textiles 170,406381,3,3
Sneha Farms 171,779586,18,1
Karan Solutions 172,531701,26,0
Neha Textiles 173,742302,3,0
Raj Exports 174,44806,10,2
Rahul Textiles 175,347884,25,0
Sneha Logistics 176,600526,13,2
Neha Farms 177,235472,3,0
Vikram Tech 178,107302,25,0
Neha Tech 179,66619,8,0
Aditya Enterprises 180,747509,13,1
Aditya Farms 181,359963,29,3
Sneha Industries 182,134119,1,4
Karan Textiles 183,320557,21,4
Aditya Farms 184,438494,15,5
Aditya Textiles 185,387551,24,4
Pooja Traders 186,682055,7,2
Karan Solutions 187,459781,19,3
Rahul Textiles 188,545816,22,1
Aditya Traders 189,312708,18,3
Pooja Industries 190,670682,3,1
Rahul Exports 191,711712,10,3
Rohan Exports 192,295417,18,0
Vikram Textiles 193,629099,9,1
Neha Solutions 194,319769,22,3
Karan Exports 195,155955,7,4
Neha Traders 196,311279,20,2
Pooja Industries 197,466927,14,1
Neha Exports 198,386489,12,4
Aditya Solutions 199,537718,16,2
Vikram Logistics 200,582925,29,4
Karan Tech 201,64415,7,3
Anjali Logistics 202,750984,13,0
Neha Exports 203,380503,3,4
Karan Solutions 204,452786,20,4
Aditya Industries 205,252506,7,3
Sneha Textiles 206,306152,14,4
Aditya Farms 207,504203,14,4
Rahul Farms 208,252490,8,5
Rahul Enterprises 209,47986,2,5
Aditya Tech 210,438943,9,2
Rahul Traders 211,423935,26,0
Pooja Logistics 212,121418,1,1
Sneha Enterprises 213,539276,19,3
Rahul Enterprises 214,699203,11,4
Sneha Solutions 215,500921,13,5
Anjali Enterprises 216,485907,6,4
Vikram Solutions 217,327003,16,5
Raj Traders 218,389714,10,0
Rahul Industries 219,106218,12,3
Karan Enterprises 220,70640,7,0
Karan Farms 221,112695,14,1
Aditya Traders 222,525658,0,5
Neha Tech 223,423213,30,2
Karan Traders 224,281244,0,5
Aditya Textiles 225,432391,19,4
Vikram Farms 226,404819,30,4
Pooja Exports 227,796912,18,3
Rohan Traders 228,705703,23,0
Rahul Exports 229,797781,11,5
Sneha Solutions 230,27635,22,5
Aditya Exports 231,551741,29,0
Aditya Solutions 232,38593,28,0
Rohan Industries 233,276760,14,2
Rahul Textiles 234,60040,7,2
Rohan Exports 235,175388,29,1
Vikram Farms 236,359180,21,5
Vikram Solutions 237,436347,15,0
Karan Industries 238,83374,19,4
Sneha Solutions 239,516244,17,3
Rahul Solutions 240,73233,0,0
Neha Tech 241,372177,14,4
Anjali Industries 242,124630,12,5
Karan Logistics 243,199283,14,1
Sneha Logistics 244,282326,30,4
Pooja Solutions 245,735445,16,1
Sneha Farms 246,723676,6,3
Sneha Solutions 247,494832,15,3
Neha Industries 248,782548,21,2
Karan Tech 249,74268,2,3
Rahul Traders 250,630909,28,2
Vikram Tech 251,157701,22,1
Raj Textiles 252,475964,8,5
Karan Farms 253,443223,25,3
Karan Textiles 254,338881,0,2
Anjali Industries 255,258913,16,3
Rohan Solutions 256,149248,6,0
Raj Tech 257,435725,1,4
Sneha Industries 258,477778,5,4
Rahul Logistics 259,278478,15,1
Vikram Industries 260,662619,2,3
Neha Farms 261,224325,15,0
Pooja Tech 262,292223,26,5
Neha Exports 263,243210,17,0
Karan Tech 264,140131,1,4
Anjali Tech 265,452135,12,1
Pooja Exports 266,232829,11,3
Raj Tech 267,269885,17,5
Vikram Logistics 268,217133,29,2
Pooja Industries 269,517895,8,2
Vikram Solutions 270,710150,22,5
Karan Enterprises 271,631731,13,0
Raj Industries 272,272916,28,1
Raj Logistics 273,373080,2,4
Neha Farms 274,607357,19,2
Anjali Industries 275,57642,22,4
Rohan Solutions 276,789036,16,1
Neha Logistics 277,650261,7,5
Aditya Industries 278,151605,23,1
Rahul Tech 279,202160,9,1
Raj Logistics 280,213145,9,5
Pooja Farms 281,631234,24,1
Sneha Exports 282,473764,18,4
Raj Textiles 283,39263,8,3
Neha Logistics 284,575310,30,3
Pooja Logistics 285,768459,10,1
Rahul Textiles 286,478042,29,0
Anjali Tech 287,377216,1,3
Anjali Farms 288,376162,1,2
Pooja Enterprises 289,683610,17,4
Neha Exports 290,321568,29,1
Neha Logistics 291,84111,21,3
Karan Exports 292,413753,14,5
Karan Exports 293,661063,17,2
Vikram Industries 294,511698,12,3
Sneha Enterprises 295,530383,10,5
Anjali Exports 296,600717,23,4
Neha Tech 297,587153,10,3
Raj Farms 298,425086,27,0
Rohan Tech 299,61648,19,1
Rohan Textiles 300,135090,1,5
Aditya Traders 301,228443,23,1
Vikram Exports 302,377709,7,2
Vikram Tech 303,770782,2,5
Vikram Exports 304,256943,17,0
Sneha Textiles 305,423795,8,3
Raj Solutions 306,257165,4,4
Anjali Textiles 307,484326,23,5
Sneha Logistics 308,412349,16,0
Aditya Farms 309,440387,22,0
Pooja Industries 310,661444,14,0
Karan Industries 311,379858,10,3
Rahul Enterprises 312,250999,23,4
Rohan Solutions 313,787001,7,2
Rahul Farms 314,363080,9,1
Karan Tech 315,565231,19,4
Pooja Exports 316,356879,13,0
Sneha Tech 317,431346,26,1
Aditya Tech 318,72979,26,3
Anjali Tech 319,687276,10,3
Sneha Textiles 320,657079,16,1
Rohan Farms 321,437179,1,0
Neha Solutions 322,189121,17,2
Rohan Exports 323,291872,16,0
Neha Tech 324,141508,13,1
Vikram Traders 325,596498,23,0
Pooja Textiles 326,789568,24,0
Rohan Traders 327,97699,27,4
Karan Traders 328,361258,1,3
Rohan Enterprises 329,374447,10,0
Anjali Farms 330,199054,4,2
Vikram Enterprises 331,115297,29,1
Pooja Solutions 332,242703,23,3
Rahul Tech 333,488994,18,1
Rahul Traders 334,458798,20,5
Vikram Farms 335,504062,10,2
Rahul Solutions 336,165147,22,5
Sneha Enterprises 337,332137,17,5
Anjali Industries 338,172392,21,2
Sneha Tech 339,93220,5,0
Rohan Solutions 340,51704,11,2
Rohan Enterprises 341,20803,2,2
Neha Textiles 342,20146,21,0
Pooja Enterprises 343,294022,5,4
Vikram Industries 344,363319,20,1
Vikram Tech 345,570393,13,0
Neha Exports 346,784906,19,5
Vikram Solutions 347,467200,28,4
Rahul Solutions 348,421309,6,5
Pooja Traders 349,45964,27,2
Karan Logistics 350,429700,18,0
Vikram Farms 351,478603,14,5
Aditya Traders 352,431731,25,4
Pooja Farms 353,362137,1,2
Raj Tech 354,448013,10,4
Neha Logistics 355,761852,14,1
Pooja Logistics 356,778141,0,2
Pooja Logistics 357,244068,1,5
Neha Exports 358,322017,4,1
Neha Tech 359,199443,2,2
Sneha Textiles 360,187169,10,2
Neha Tech 361,354687,25,2
Sneha Traders 362,232799,25,5
Aditya Traders 363,515175,5,1
Pooja Solutions 364,614650,22,2
Neha Industries 365,420336,29,3
Karan Textiles 366,162229,18,1
Raj Solutions 367,215809,24,3
Sneha Tech 368,120669,10,1
Raj Farms 369,166332,16,1
Sneha Traders 370,712876,20,2
Sneha Industries 371,282482,17,1
Karan Industries 372,652528,10,3
Karan Tech 373,621205,22,5
Neha Farms 374,348616,7,1
Pooja Industries 375,728103,4,0
Vikram Traders 376,570303,19,3
Rahul Tech 377,549649,8,1
Pooja Logistics 378,711185,24,0
Neha Enterprises 379,203782,16,0
Anjali Exports 380,539288,22,3
Aditya Exports 381,384420,10,4
Pooja Traders 382,282390,8,4
Pooja Exports 383,603254,0,2
Pooja Enterprises 384,363794,29,5
Anjali Textiles 385,365177,3,0
Karan Industries 386,350132,25,2
Aditya Traders 387,263680,8,0
Rohan Logistics 388,342049,26,3
Pooja Traders 389,425857,20,3
Rohan Tech 390,351031,11,3
Sneha Exports 391,525589,7,5
Pooja Industries 392,798094,3,4
Sneha Logistics 393,722840,4,5
Pooja Farms 394,406000,26,1
Karan Farms 395,78820,22,2
Sneha Farms 396,115670,26,2
Vikram Industries 397,485742,17,2
Aditya Tech 398,428407,23,2
Anjali Logistics 399,71905,17,4
Pooja Enterprises 400,359732,13,0
Sneha Solutions 401,84706,23,0
Pooja Tech 402,756027,5,4
Vikram Traders 403,644022,10,5
Karan Logistics 404,242863,1,5
Pooja Textiles 405,593597,23,1
Vikram Solutions 406,207537,16,3
Vikram Enterprises 407,170197,10,3
Rahul Traders 408,495772,20,2
Raj Textiles 409,258012,24,5
Anjali Enterprises 410,707501,23,0
Rohan Tech 411,569372,7,5
Raj Tech 412,202741,8,0
Rahul Enterprises 413,542516,29,3
Raj Solutions 414,194762,0,2
Raj Exports 415,464086,21,4
Neha Exports 416,489307,14,0
Vikram Logistics 417,359974,24,3
Raj Exports 418,435850,12,3
Rohan Textiles 419,728700,4,4
Anjali Logistics 420,56340,25,5
Rahul Solutions 421,667654,13,1
Karan Solutions 422,589334,25,1
Raj Farms 423,61038,25,4
Vikram Tech 424,623868,17,3
Pooja Exports 425,513499,22,1
Aditya Enterprises 426,472475,0,0
Vikram Textiles 427,413123,19,0
Pooja Logistics 428,476482,24,5
Raj Textiles 429,767683,17,4
Rahul Traders 430,86640,4,2
Rahul Textiles 431,168285,7,4
Vikram Industries 432,797335,5,5
Vikram Textiles 433,182444,22,0
Sneha Solutions 434,759633,19,5
Vikram Traders 435,377899,14,5
Pooja Traders 436,55813,8,3
Sneha Industries 437,237275,8,4
Sneha Industries 438,209045,19,5
Vikram Farms 439,488779,2,3
Anjali Logistics 440,126814,24,5
Sneha Solutions 441,574855,13,4
Sneha Industries 442,508446,1,4
Karan Industries 443,447395,20,0
Vikram Exports 444,505722,24,0
Rohan Logistics 445,196306,7,5
Pooja Textiles 446,290517,9,4
Rohan Logistics 447,94068,21,0
Rohan Farms 448,82931,19,5
Rohan Exports 449,115737,10,2
Raj Logistics 450,583658,0,1
Rohan Traders 451,134391,3,2
Anjali Enterprises 452,693931,20,2
Neha Traders 453,632499,4,2
Anjali Textiles 454,507673,5,5
Pooja Textiles 455,224785,9,4
Neha Farms 456,529428,5,0
Vikram Enterprises 457,497223,4,0
Karan Traders 458,245576,3,5
Anjali Industries 459,625105,19,3
Pooja Traders 460,480112,11,1
Anjali Traders 461,133881,18,3
Karan Tech 462,290568,5,2
Anjali Industries 463,786008,0,5
Vikram Farms 464,367553,27,3
Vikram Traders 465,42950,26,0
Raj Traders 466,121957,13,5
Vikram Farms 467,271030,18,4
Neha Solutions 468,337357,11,0
Anjali Industries 469,360810,26,5
Anjali Solutions 470,20257,5,5
Rohan Textiles 471,88057,27,0
Rahul Farms 472,409159,5,4
Rohan Farms 473,21953,22,0
Karan Exports 474,631117,18,1
Raj Tech 475,81716,7,4
Sneha Logistics 476,139359,30,4
Pooja Solutions 477,530568,9,0
Sneha Tech 478,497109,29,2
Pooja Logistics 479,602466,17,0
Vikram Tech 480,254700,21,5
Vikram Industries 481,654770,0,4
Anjali Enterprises 482,479252,12,1
Anjali Traders 483,372875,12,3
Karan Logistics 484,434859,22,2
Anjali Textiles 485,252833,13,0
Pooja Tech 486,636678,10,0
Vikram Exports 487,65278,8,5
Karan Textiles 488,367248,24,1
Raj Industries 489,645224,20,4
Vikram Textiles 490,754629,28,3
Anjali Solutions 491,573473,30,0
Raj Solutions 492,571836,2,1
Pooja Solutions 493,249188,14,0
Vikram Exports 494,548252,16,2
Neha Textiles 495,462291,4,1
Raj Exports 496,745824,11,5
Sneha Traders 497,149006,23,3
Karan Industries 498,362186,3,2
Pooja Traders 499,698002,6,2
Neha Textiles 500,562251,28,5
Pooja Traders 501,634773,3,3
Aditya Tech 502,139377,2,1
Rahul Solutions 503,404325,12,2
Karan Farms 504,536455,14,4
Neha Traders 505,504088,11,3
Raj Tech 506,604035,27,0
Rahul Solutions 507,690216,20,5
Aditya Logistics 508,605227,10,2
Pooja Industries 509,641118,0,5
Rohan Solutions 510,52610,25,1
Neha Tech 511,789516,26,4
Neha Industries 512,203808,15,1
Rahul Industries 513,781206,8,4
Sneha Tech 514,99563,13,4
Vikram Enterprises 515,151889,28,1
Pooja Solutions 516,95152,25,1
Karan Enterprises 517,582767,30,2
Rahul Solutions 518,363856,26,3
Rahul Solutions 519,569370,13,0
Sneha Farms 520,607321,26,3
Karan Farms 521,519833,11,1
Neha Traders 522,278717,13,2
Raj Enterprises 523,627675,23,2
Neha Tech 524,736254,13,2
Karan Traders 525,196446,30,4
Raj Exports 526,310062,17,1
Aditya Tech 527,676182,30,3
Rahul Farms 528,260401,29,2
Vikram Industries 529,27350,1,5
Anjali Tech 530,487471,0,5
Neha Textiles 531,96579,26,3
Pooja Tech 532,451887,23,3
Vikram Enterprises 533,626908,17,3
Raj Textiles 534,632784,28,2
Sneha Farms 535,28564,19,5
Neha Exports 536,201189,29,1
Sneha Industries 537,170670,4,2
Raj Textiles 538,764992,28,5
Sneha Enterprises 539,666240,30,2
Karan Industries 540,667799,26,5
Raj Tech 541,45590,25,1
Sneha Enterprises 542,538674,4,2
Pooja Traders 543,405962,24,4
Rohan Textiles 544,791538,19,4
Sneha Farms 545,52092,5,1
Neha Logistics 546,508069,9,1
Pooja Enterprises 547,256581,20,3
Rohan Industries 548,478849,11,5
Vikram Farms 549,176954,20,3
Raj Exports 550,90962,25,2
Karan Tech 551,453113,22,3
Pooja Logistics 552,606408,29,3
Karan Logistics 553,182084,16,0
Raj Enterprises 554,524393,11,5
Aditya Traders 555,537910,14,4
Aditya Exports 556,311151,8,0
Aditya Solutions 557,368913,1,0
Pooja Industries 558,723238,11,4
Sneha Logistics 559,770121,16,3
Rahul Logistics 560,436321,12,3
Rohan Logistics 561,376928,19,5
Anjali Textiles 562,316216,27,3
Rahul Exports 563,253397,24,1
Sneha Tech 564,483612,19,3
Rahul Industries 565,174200,21,5
Neha Tech 566,780940,17,5
Pooja Solutions 567,341919,24,3
Rahul Solutions 568,157634,29,5
Vikram Solutions 569,635689,13,4
Rahul Solutions 570,646020,20,2
Karan Enterprises 571,584277,18,0
Aditya Tech 572,436930,26,0
Vikram Farms 573,765885,9,4
Sneha Logistics 574,402875,28,5
Vikram Logistics 575,283641,25,0
Anjali Enterprises 576,276652,13,2
Rahul Industries 577,714527,29,2
Rohan Solutions 578,32523,12,3
Vikram Traders 579,369480,0,1
Anjali Logistics 580,403785,27,2
Raj Enterprises 581,468478,6,4
Aditya Farms 582,593201,8,1
Karan Exports 583,694813,30,2
Raj Exports 584,512241,20,5
Raj Textiles 585,555196,30,5
Pooja Logistics 586,322821,10,1
Neha Logistics 587,129908,20,5
Karan Logistics 588,279617,10,1
Pooja Logistics 589,545383,7,5
Pooja Logistics 590,190640,15,3
Raj Exports 591,86187,0,2
Aditya Traders 592,573318,17,0
Karan Textiles 593,73332,17,5
Pooja Tech 594,405725,13,2
Sneha Tech 595,153356,6,4
Karan Traders 596,96101,26,5
Vikram Traders 597,651885,6,4
Rahul Tech 598,339753,20,2
Karan Tech 599,575549,0,5
Rohan Enterprises 600,326102,25,2
Sneha Logistics 601,36738,6,0
Rahul Enterprises 602,421877,18,5
Sneha Textiles 603,520637,25,1
Sneha Enterprises 604,435894,7,4
Rahul Exports 605,313278,19,1
Karan Industries 606,447529,6,1
Rahul Tech 607,354975,13,2
Raj Industries 608,377622,4,1
Neha Textiles 609,81725,23,2
Vikram Solutions 610,484324,17,3
Rohan Logistics 611,385789,28,0
Anjali Exports 612,458157,6,4
Anjali Tech 613,570377,6,1
Rohan Farms 614,99592,28,3
Rahul Exports 615,636007,6,2
Aditya Logistics 616,629199,17,1
Anjali Farms 617,740178,23,4
Rohan Traders 618,82353,18,2
Pooja Enterprises 619,352205,20,3
Sneha Exports 620,84026,10,2
Anjali Farms 621,63291,22,2
Neha Tech 622,243458,3,3
Pooja Textiles 623,586778,12,3
Raj Traders 624,605669,8,0
Vikram Solutions 625,476601,27,3
Raj Textiles 626,133559,6,5
Karan Textiles 627,59372,14,2
Sneha Farms 628,648563,25,2
Sneha Enterprises 629,234675,17,3
Aditya Industries 630,610388,29,1
Karan Tech 631,516032,25,0
Anjali Textiles 632,287838,3,2
Aditya Enterprises 633,409958,3,5
Rohan Exports 634,95817,14,5
Anjali Textiles 635,550709,9,0
Neha Traders 636,510945,4,0
Rahul Enterprises 637,673481,19,0
Raj Farms 638,209246,15,4
Neha Traders 639,330809,28,5
Karan Traders 640,756391,8,0
Karan Exports 641,369546,29,1
Rahul Solutions 642,370080,15,3
Rohan Enterprises 643,294332,3,0
Anjali Enterprises 644,392000,9,2
Raj Tech 645,457470,18,4
Rohan Farms 646,667138,11,1
Karan Industries 647,434627,16,2
Raj Enterprises 648,623311,7,0
Pooja Solutions 649,406668,30,4
Neha Solutions 650,289190,12,3
Karan Industries 651,195327,23,1
Neha Industries 652,670507,23,5
Aditya Textiles 653,271737,7,2
Neha Tech 654,409163,18,5
Vikram Industries 655,52283,15,0
Anjali Traders 656,23672,18,1
Vikram Industries 657,575685,2,3
Neha Enterprises 658,56994,15,4
Pooja Farms 659,289936,29,5
Anjali Exports 660,28979,17,1
Neha Industries 661,300190,15,5
Raj Logistics 662,155310,1,5
Karan Solutions 663,345473,14,2
Rohan Farms 664,195366,21,0
Karan Textiles 665,560201,26,5
Neha Logistics 666,525350,19,1
Rahul Industries 667,705700,23,4
Vikram Logistics 668,439320,1,0
Rahul Logistics 669,393003,1,0
Rahul Farms 670,190044,1,1
Karan Tech 671,182691,25,0
Vikram Textiles 672,339117,25,5
Rahul Enterprises 673,544859,23,1
Karan Industries 674,127891,16,3
Neha Exports 675,549776,15,2
Raj Farms 676,225360,22,3
Anjali Enterprises 677,764855,23,5
Aditya Enterprises 678,413288,10,5
Karan Textiles 679,227293,4,4
Aditya Logistics 680,466774,29,1
Rahul Industries 681,766559,5,3
Karan Solutions 682,677230,15,1
Pooja Farms 683,408415,14,0
Raj Solutions 684,254520,16,3
Anjali Farms 685,582485,15,3
Pooja Solutions 686,244819,20,5
Aditya Exports 687,36052,15,3
Neha Logistics 688,144149,21,4
Vikram Textiles 689,702593,16,0
Raj Farms 690,480651,4,4
Rahul Textiles 691,381483,14,2
Anjali Textiles 692,311660,2,0
Anjali Industries 693,290388,23,5
Karan Enterprises 694,176766,9,1
Anjali Exports 695,285021,14,0
Vikram Exports 696,794877,15,0
Karan Enterprises 697,757963,15,5
Aditya Farms 698,729474,17,2
Raj Enterprises 699,324029,25,3
Pooja Logistics 700,79136,4,2
Karan Farms 701,377268,20,2
Rohan Enterprises 702,653024,26,4
Anjali Logistics 703,494823,16,4
Karan Solutions 704,369241,14,2
Vikram Farms 705,716152,6,5
Rahul Tech 706,449352,21,0
Aditya Farms 707,331268,21,0
Raj Logistics 708,299387,14,1
Rahul Exports 709,199727,18,4
Vikram Enterprises 710,412744,7,0
Anjali Solutions 711,251186,10,2
Rahul Enterprises 712,601478,22,1
Vikram Traders 713,438851,29,3
Aditya Tech 714,289105,10,5
Raj Enterprises 715,74779,8,0
Raj Industries 716,452094,8,5
Aditya Tech 717,628457,25,1
Rahul Exports 718,583880,5,4
Aditya Logistics 719,383199,12,3
Neha Exports 720,639205,9,3
Aditya Textiles 721,82600,22,5
Aditya Solutions 722,67002,2,0
Karan Textiles 723,110089,6,1
Vikram Enterprises 724,538873,5,4
Rohan Industries 725,263555,26,5
Rohan Logistics 726,720310,8,1
Vikram Exports 727,44230,14,2
Rahul Logistics 728,559753,17,0
Sneha Logistics 729,207850,17,2
Pooja Solutions 730,285328,17,3
Raj Industries 731,519915,2,5
Anjali Exports 732,205905,3,3
Sneha Exports 733,391645,18,4
Neha Farms 734,574548,8,3
Sneha Industries 735,55423,29,4
Karan Textiles 736,625856,13,4
Rohan Traders 737,620534,29,4
Anjali Exports 738,152227,14,5
Rohan Tech 739,160103,17,3
Rahul Industries 740,583633,0,5
Pooja Industries 741,515447,20,5
Neha Farms 742,79455,29,1
Neha Farms 743,684564,17,5
Rohan Solutions 744,186423,15,0
Aditya Solutions 745,384019,1,5
Rohan Farms 746,516243,27,3
Raj Logistics 747,53132,19,0
Neha Traders 748,47823,4,0
Rahul Solutions 749,114768,23,5
Pooja Enterprises 750,212463,21,1
Vikram Solutions 751,77831,13,3
Pooja Industries 752,495114,29,3
Anjali Solutions 753,642058,15,2
Pooja Logistics 754,583469,14,5
Pooja Farms 755,216178,1,4
Anjali Logistics 756,79041,21,3
Rahul Tech 757,181622,10,2
Vikram Tech 758,718157,27,3
Sneha Exports 759,52601,14,5
Karan Traders 760,256528,30,2
Anjali Industries 761,338374,4,0
Aditya Enterprises 762,660832,13,4
Pooja Tech 763,777492,13,0
Pooja Traders 764,691871,25,4
Raj Traders 765,327283,13,2
Raj Exports 766,349814,7,2
Neha Enterprises 767,396887,22,5
Rohan Traders 768,796724,8,1
Anjali Enterprises 769,710347,10,5
Sneha Textiles 770,777471,7,1
Pooja Solutions 771,205386,27,3
Sneha Enterprises 772,151915,21,0
Neha Traders 773,229615,12,5
Rahul Industries 774,276397,1,2
Raj Textiles 775,252973,21,5
Neha Tech 776,378313,4,4
Vikram Textiles 777,795115,29,4
Rohan Traders 778,700191,9,0
Pooja Exports 779,770232,12,4
Rahul Textiles 780,355729,23,5
Karan Textiles 781,59677,10,1
Pooja Tech 782,342069,14,3
Neha Industries 783,151987,16,3
Rahul Traders 784,676342,0,3
Aditya Exports 785,333472,26,5
Pooja Solutions 786,699441,4,1
Aditya Textiles 787,103553,6,4
Vikram Exports 788,608262,30,1
Pooja Solutions 789,437953,5,3
Neha Farms 790,781275,27,0
Neha Farms 791,65158,21,5
Anjali Industries 792,350411,29,1
Raj Enterprises 793,309796,18,2
Sneha Logistics 794,694838,22,2
Vikram Textiles 795,49702,27,3
Anjali Logistics 796,607645,19,5
Rahul Exports 797,302506,22,2
Neha Textiles 798,507568,18,0
Sneha Traders 799,52854,18,2
Pooja Farms 800,457981,14,2
Raj Traders 801,654201,10,0
Vikram Traders 802,394198,21,2
Sneha Textiles 803,417105,0,0
Neha Industries 804,733128,23,4
Raj Enterprises 805,256689,15,0
Vikram Tech 806,274307,27,3
Rohan Tech 807,729999,30,2
Anjali Exports 808,394235,0,1
Vikram Farms 809,581624,19,5
